value	from	to
0,923752664	Белгородская обл.	Архангельская обл.
0,885477454	Брянская обл.	Архангельская обл.
0,889676267	Бурятия	Архангельская обл.
0,882588992	Владимирская обл.	Архангельская обл.
0,885815226	Волгоградская обл.	Архангельская обл.
0,880488569	Вологодская обл.	Архангельская обл.
0,893344579	Воронежская обл.	Архангельская обл.
0,793532305	Дагестан	Архангельская обл.
0,820394995	Еврейская АО	Архангельская обл.
0,934749604	Забайкальский край	Архангельская обл.
0,94096782	Ивановская обл.	Архангельская обл.
0,860998196	Ингушетия	Архангельская обл.
0,890944698	Иркутская обл.	Архангельская обл.
0,90992281	Кабардино-Балкария	Архангельская обл.
0,884925677	Калининградская обл.	Архангельская обл.
0,731593772	Калмыкия	Архангельская обл.
0,90858568	Калужская обл.	Архангельская обл.
0,898481237	Камчатский край	Архангельская обл.
0,875808601	Карачаево-Черкессия	Архангельская обл.
0,911784369	Карелия	Архангельская обл.
0,837904126	Кемеровская обл.	Архангельская обл.
0,919167586	Кировская обл.	Архангельская обл.
0,966217425	Коми	Архангельская обл.
0,915617318	Костромская обл.	Архангельская обл.
0,817628377	Краснодарский край	Архангельская обл.
0,938823688	Красноярский край	Архангельская обл.
0,864896109	Крым	Архангельская обл.
0,893201894	Курганская обл.	Архангельская обл.
0,891068859	Курская обл.	Архангельская обл.
0,877331165	Ленинградская обл.	Архангельская обл.
0,84406972	Липецкая обл.	Архангельская обл.
0,839956513	Магаданская обл.	Архангельская обл.
0,882421798	Марий Эл	Архангельская обл.
0,939650284	Мордовия	Архангельская обл.
0,627687821	Москва	Архангельская обл.
0,732218967	Московская обл.	Архангельская обл.
0,891605913	Мурманская обл.	Архангельская обл.
0,860215202	Ненецкий АО	Архангельская обл.
0,915321421	Нижегородская обл.	Архангельская обл.
0,955509742	Новгородская обл.	Архангельская обл.
0,909369526	Новосибирская обл.	Архангельская обл.
0,927310861	Омская обл.	Архангельская обл.
0,897099414	Оренбургская обл.	Архангельская обл.
0,923511486	Орловская обл.	Архангельская обл.
0,887811235	Пензенская обл.	Архангельская обл.
0,87630081	Пермский край	Архангельская обл.
0,901187194	Приморский край	Архангельская обл.
0,930785068	Псковская обл.	Архангельская обл.
0,885456834	Ростовская обл.	Архангельская обл.
0,863816824	Рязанская обл.	Архангельская обл.
