from;to;value
Мурманская обл.;Архангельская обл.;0,122220050238033
Ненецкий АО;Архангельская обл.;0,167009035218837
Нижегородская обл.;Архангельская обл.;0,421150758416254
Новгородская обл.;Архангельская обл.;0,683937122868419
Новосибирская обл.;Архангельская обл.;0,727369469083183
Омская обл.;Архангельская обл.;0,5035151720248
Оренбургская обл.;Архангельская обл.;0,329230040555025
Орловская обл.;Архангельская обл.;0,352207497584753
Пензенская обл.;Архангельская обл.;0,61014264029769
Пермский край;Архангельская обл.;0,600328009891873
Приморский край;Архангельская обл.;0,323975794057391
Псковская обл.;Архангельская обл.;0,603475438957788
Ростовская обл.;Архангельская обл.;0,48638816886709
Рязанская обл.;Архангельская обл.;-0,134373040642324
Самарская обл.;Архангельская обл.;0,469858953298143
Санкт-Петербург;Архангельская обл.;0,0633289514535728
Саратовская обл.;Архангельская обл.;0,64850474228753
Саха (Якутия);Архангельская обл.;0,725800196829257
Сахалинская обл.;Архангельская обл.;0,284345736761727
Свердловская обл.;Архангельская обл.;0,789408315124409
Севастополь;Архангельская обл.;-0,146947656218455
Северная Осетия;Архангельская обл.;-0,33860287004901
Смоленская обл.;Архангельская обл.;0,459431300565956
Ставропольский край;Архангельская обл.;0,426985146786289
Тамбовская обл.;Архангельская обл.;0,0592503250547529
Татарстан;Архангельская обл.;-0,308155666714074
Тверская обл.;Архангельская обл.;0,465263093602576
Томская обл.;Архангельская обл.;0,610879716556506
Тульская обл.;Архангельская обл.;0,294748473063082
Тыва;Архангельская обл.;0,678372598497449
Тюменская обл.;Архангельская обл.;0,303095904312055
Удмуртия;Архангельская обл.;0,52676873896042
Ульяновская обл.;Архангельская обл.;0,710845293028706
Хабаровский край;Архангельская обл.;0,458919951634118
Хакасия;Архангельская обл.;0,51423487456645
ХМАО – Югра;Архангельская обл.;0,707270872508803
Челябинская обл.;Архангельская обл.;0,685694726540804
Чечня;Архангельская обл.;-0,331950109525739
Чувашия;Архангельская обл.;0,446016814188267
Чукотский АО;Архангельская обл.;0,106868719561423
Ямало-Ненецкий АО;Архангельская обл.;0,457141893864878
Ярославская обл.;Архангельская обл.;0,0408115078838188
Адыгея;Астраханская обл.;0,269333064543508
Алтай;Астраханская обл.;-0,0446575822852058
Алтайский край;Астраханская обл.;0,00147705981298775
Амурская обл.;Астраханская обл.;0,31774618113241
Архангельская обл.;Астраханская обл.;0,434044984080757
Астраханская обл.;Астраханская обл.;1
Башкортостан;Астраханская обл.;0,466117123642594
Белгородская обл.;Астраханская обл.;0,580360877335101
Брянская обл.;Астраханская обл.;0,458739413729394
Бурятия;Астраханская обл.;0,440996227354565
Владимирская обл.;Астраханская обл.;0,361994367518077
Волгоградская обл.;Астраханская обл.;0,505637571434333
Вологодская обл.;Астраханская обл.;0,132525620148095
Воронежская обл.;Астраханская обл.;0,303705498674883
Дагестан;Астраханская обл.;0,284888201329322
Еврейская АО;Астраханская обл.;-0,114342163648504
Забайкальский край;Астраханская обл.;0,461038308624683
Ивановская обл.;Астраханская обл.;0,475100839641384
Ингушетия;Астраханская обл.;0,114370527208207
Иркутская обл.;Астраханская обл.;0,260677274277242
Кабардино-Балкария;Астраханская обл.;0,456817576928759
Калининградская обл.;Астраханская обл.;0,485289764434024
Калмыкия;Астраханская обл.;-0,106111428269485
Калужская обл.;Астраханская обл.;0,366320317464579
Камчатский край;Астраханская обл.;0,260397775885657
Карачаево-Черкессия;Астраханская обл.;0,406569310887056
Карелия;Астраханская обл.;0,0928249349128285
Кемеровская обл.;Астраханская обл.;-0,100074376525782
Кировская обл.;Астраханская обл.;0,357584510490403
Коми;Астраханская обл.;0,0946940590999581
Костромская обл.;Астраханская обл.;-0,00157216398582389
Краснодарский край;Астраханская обл.;0,210752048997526
Красноярский край;Астраханская обл.;0,330345816948676
