from;to;value
Тыва;Астраханская обл.;0,484020699580046
Тюменская обл.;Астраханская обл.;0,855646065343518
Удмуртия;Астраханская обл.;0,54725570152948
Ульяновская обл.;Астраханская обл.;0,733221587321763
Хабаровский край;Астраханская обл.;0,72637940181045
Хакасия;Астраханская обл.;0,782147804598957
ХМАО – Югра;Астраханская обл.;0,801371203014916
Челябинская обл.;Астраханская обл.;0,66132655606996
Чечня;Астраханская обл.;0,785072220074592
Чувашия;Астраханская обл.;0,841776604596693
Чукотский АО;Астраханская обл.;0,294633549663261
Ямало-Ненецкий АО;Астраханская обл.;0,837068075043459
Ярославская обл.;Астраханская обл.;0,819227211947511
Адыгея;Башкортостан;0,324282671811293
Алтай;Башкортостан;0,707886748808755
Алтайский край;Башкортостан;0,545653927582789
Амурская обл.;Башкортостан;0,261162012398419
Архангельская обл.;Башкортостан;0,901456309328116
Астраханская обл.;Башкортостан;0,761962436318558
Башкортостан;Башкортостан;1
Белгородская обл.;Башкортостан;0,919762164075913
Брянская обл.;Башкортостан;0,771468568213663
Бурятия;Башкортостан;0,48893776186371
Владимирская обл.;Башкортостан;0,85309649447862
Волгоградская обл.;Башкортостан;0,895629931369818
Вологодская обл.;Башкортостан;0,882200723594588
Воронежская обл.;Башкортостан;0,937266380447972
Дагестан;Башкортостан;0,756155220991258
Еврейская АО;Башкортостан;0,846822593622556
Забайкальский край;Башкортостан;0,880415391572088
Ивановская обл.;Башкортостан;0,921996420240661
Ингушетия;Башкортостан;0,532603890536742
Иркутская обл.;Башкортостан;0,466773429107542
Кабардино-Балкария;Башкортостан;0,787300740585463
Калининградская обл.;Башкортостан;0,82535129471429
Калмыкия;Башкортостан;0,127732642180986
Калужская обл.;Башкортостан;0,683328678230692
Камчатский край;Башкортостан;0,688040549312494
Карачаево-Черкессия;Башкортостан;0,737227937091556
Карелия;Башкортостан;0,852168375072852
Кемеровская обл.;Башкортостан;0,326908159467861
Кировская обл.;Башкортостан;0,667113128081869
Коми;Башкортостан;0,862486958559419
Костромская обл.;Башкортостан;0,956100408970744
Краснодарский край;Башкортостан;0,214239219575802
Красноярский край;Башкортостан;0,709745099352434
Крым;Башкортостан;0,844581974896406
Курганская обл.;Башкортостан;0,892212821797959
Курская обл.;Башкортостан;0,884689722832013
Ленинградская обл.;Башкортостан;0,622721636905642
Липецкая обл.;Башкортостан;0,919706748769219
Магаданская обл.;Башкортостан;0,711361462241284
Марий Эл;Башкортостан;0,848168329155158
Мордовия;Башкортостан;0,894029810336655
Москва;Башкортостан;0,613623178833799
Московская обл.;Башкортостан;0,789932826366138
Мурманская обл.;Башкортостан;0,872614112858365
Ненецкий АО;Башкортостан;0,755359451148613
Нижегородская обл.;Башкортостан;0,930479295831724
Новгородская обл.;Башкортостан;0,811370738954712
Новосибирская обл.;Башкортостан;0,388092158901514
Омская обл.;Башкортостан;0,721846137296063
Оренбургская обл.;Башкортостан;0,744449124565787
Орловская обл.;Башкортостан;0,88274769946702
Пензенская обл.;Башкортостан;0,882412022237405
Пермский край;Башкортостан;0,873137582478436
Приморский край;Башкортостан;0,149205689217762
Псковская обл.;Башкортостан;0,903237663489879
Ростовская обл.;Башкортостан;0,859992787019686
Рязанская обл.;Башкортостан;0,864419310587947
Самарская обл.;Башкортостан;0,786360245242061
Санкт-Петербург;Башкортостан;0,75618566065352
Саратовская обл.;Башкортостан;0,848900129176149
Саха (Якутия);Башкортостан;0,909124477183637
Сахалинская обл.;Башкортостан;-0,0154453048656529
Свердловская обл.;Башкортостан;0,842679332128991
Севастополь;Башкортостан;0,891520784366776
Северная Осетия;Башкортостан;0,801159165435691
Смоленская обл.;Башкортостан;0,811774849300803
Ставропольский край;Башкортостан;0,790065679876954
Тамбовская обл.;Башкортостан;0,470144076306832
Татарстан;Башкортостан;0,745685110165317
Тверская обл.;Башкортостан;0,875613609905091
Томская обл.;Башкортостан;0,650104394136651
Тульская обл.;Башкортостан;0,507531929432834
Тыва;Башкортостан;0,719323423918186
Тюменская обл.;Башкортостан;0,819755382161652
Удмуртия;Башкортостан;0,803066674228768
Ульяновская обл.;Башкортостан;0,845747853567556
Хабаровский край;Башкортостан;0,523693790180223
Хакасия;Башкортостан;0,874494646412632
ХМАО – Югра;Башкортостан;0,93856427816221
Челябинская обл.;Башкортостан;0,466219337811837
Чечня;Башкортостан;0,822361376187899
Чувашия;Башкортостан;0,904177184696714
Чукотский АО;Башкортостан;0,559482447154512
Ямало-Ненецкий АО;Башкортостан;0,88466158760002
Ярославская обл.;Башкортостан;0,748454249131655
Адыгея;Белгородская обл.;0,615156364099589
Алтай;Белгородская обл.;0,665088715321357
Алтайский край;Белгородская обл.;0,796016293405253
